N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
1,KODEX 200선물인버스2X,"2,290",170,-6.91%,"301,693,651","681,879","2,320","2,325","15,799",N/A,N/A
2,KODEX 코스닥150선물인버스,"3,880",280,-6.73%,"52,134,277","203,407","3,900","3,905","3,422",N/A,N/A
3,KODEX 인버스,"4,455",165,-3.57%,"39,297,172","174,551","4,485","4,490","6,754",N/A,N/A
4,KODEX 레버리지,"16,415",685,+4.35%,"36,912,612","613,116","16,230","16,235","16,275",N/A,N/A
5,KODEX 코스닥150레버리지,"8,380",680,+8.83%,"35,772,420","298,269","8,285","8,290","10,953",N/A,N/A
6,삼성전자,"72,900","1,500",+2.10%,"29,924,015","2,216,016","72,500","72,600","4,351,971",25.15,4.15
7,흥아해운,"2,855",160,+5.94%,"28,979,108","81,509","2,805","2,810","6,864",21.96,23.02
8,휴니드,"10,830","1,610",+17.46%,"19,131,755","197,532","11,000","11,010","1,529",7.58,11.69
9,삼성 인버스 2X WTI원유 선물 ETN,99,4,-3.88%,"17,679,807","1,758",99,100,"1,482",N/A,N/A
10,삼성중공업,"10,910",860,+8.56%,"12,861,660","138,902","10,830","10,840","96,008",-64.18,-4.22
11,TIGER 200선물인버스2X,"2,420",185,-7.10%,"11,029,920","26,545","2,455","2,460",939,N/A,N/A
12,KODEX 200,"34,375","1,115",+3.35%,"9,008,178","311,282","34,170","34,175","56,444",N/A,N/A
13,한국ANKOR유전,460,8,+1.77%,"8,512,831","3,865",460,461,322,N/A,N/A
14,대한해운,"2,005",154,+8.32%,"8,205,393","16,001","1,956","1,957","6,400",5.73,4.36
15,KODEX 코스닥150,"12,275",700,+6.05%,"7,770,792","95,083","12,215","12,225","7,561",N/A,N/A
16,삼성 인버스 2X 코스닥150 선물 ETN,"7,185","1,235",-14.67%,"7,741,565","55,827","7,265","7,270","2,874",N/A,N/A
17,SK하이닉스,"165,100","9,000",+5.77%,"6,899,361","1,134,488","163,200","163,400","1,201,932",-26.06,-15.61
18,대원전선,"3,040",260,+9.35%,"6,437,068","19,420","3,000","3,005","2,279",21.71,10.02
19,국제약품,"6,260","1,010",+19.24%,"5,777,521","35,703","6,280","6,300","1,325",-20.39,-10.58
20,두산에너빌리티,"16,920","1,060",+6.68%,"5,483,571","91,960","16,810","16,820","108,383",83.35,0.78
21,삼부토건,"1,260",1,+0.08%,"5,389,973","6,909","1,259","1,263","2,818",-1.92,-73.88
22,TIGER 미국S&P500,"17,945",275,+1.56%,"4,843,140","86,721","17,940","17,945","40,897",N/A,N/A
23,KODEX 2차전지산업레버리지,"2,185",155,+7.64%,"4,816,314","10,586","2,155","2,160","1,980",N/A,N/A
24,대성에너지,"11,610",70,+0.61%,"4,469,083","51,817","11,570","11,610","3,193",16.90,4.72
25,RISE 200,"34,595","1,085",+3.24%,"3,841,830","133,304","34,390","34,405","10,586",N/A,N/A
26,현대약품,"5,450",380,+7.50%,"3,610,328","19,725","5,420","5,430","1,744",64.12,7.15
27,ACE 미국30년국채액티브(H),"8,880",115,-1.28%,"3,607,824","32,072","8,880","8,885","15,380",N/A,N/A
